id,ident,type,name,lat,lon,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
20731,KOJC,small_airport,Johnson County Executive Airport,38.84759903,-94.73760223,1096,NA,United States,US,Kansas,US-KS,KS,Olathe,0,KOJC,OJC,OJC,http://www.jocogov.org/dept/airport-commission/executive-airport,https://en.wikipedia.org/wiki/Johnson_County_Executive_Airport,,50,2015-09-11T06:22:32+00:00
20829,KPHK,small_airport,Palm Beach County Glades Airport,26.78499985,-80.69339752,16,NA,United States,US,Florida,US-FL,FL,Pahokee,0,KPHK,PHK,PHK,http://www.pbia.org/about/general-aviation/glades-airport/,https://en.wikipedia.org/wiki/Palm_Beach_County_Glades_Airport,Pahokee Airport,50,2016-01-03T08:52:39+00:00
21400,KXFL,small_airport,Flagler Executive Airport,29.4674,-81.206299,33,NA,United States,US,Florida,US-FL,FL,Palm Coast,0,KFIN,,FIN,http://www.flaglercounty.org/index.aspx?NID=135,https://en.wikipedia.org/wiki/Flagler_County_Airport,"formerly X47, XFL, KXFL, NOLF Bunnell, Flagler County",50,2019-01-12T13:30:28+00:00
20887,KPVF,small_airport,Placerville Airport,38.7242012,-120.7529984,2585,NA,United States,US,California,US-CA,CA,Placerville,0,KPVF,PVF,PVF,,https://en.wikipedia.org/wiki/Placerville_Airport,,50,2016-01-10T23:38:56+00:00
3468,KCSG,medium_airport,Columbus Metropolitan Airport,32.5163002,-84.93890381,397,NA,United States,US,Georgia,US-GA,GA,Columbus,1,KCSG,CSG,CSG,,https://en.wikipedia.org/wiki/Columbus_Metropolitan_Airport,,750,2008-06-13T14:30:04+00:00
3501,KEAU,medium_airport,Chippewa Valley Regional Airport,44.86579895,-91.48429871,913,NA,United States,US,Wisconsin,US-WI,WI,Eau Claire,1,KEAU,EAU,EAU,,https://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport,,750,2008-06-13T14:30:04+00:00
3366,KAFW,medium_airport,Fort Worth Alliance Airport,32.99044,-97.31947,722,NA,United States,US,Texas,US-TX,TX,Fort Worth,0,KAFW,AFW,AFW,http://www.allianceairport.com/,https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport,,750,2022-03-04T10:34:26+00:00
3527,KGPI,medium_airport,Glacier Park International Airport,48.3105011,-114.2559967,2977,NA,United States,US,Montana,US-MT,MT,Kalispell,1,KGPI,FCA,GPI,http://www.iflyglacier.com/,https://en.wikipedia.org/wiki/Glacier_Park_International_Airport,Formerly KFCA,750,2009-01-11T20:53:20+00:00
3639,KLEB,medium_airport,Lebanon Municipal Airport,43.62609863,-72.30419922,603,NA,United States,US,New Hampshire,US-NH,NH,Lebanon,1,KLEB,LEB,LEB,http://flyleb.com/,https://en.wikipedia.org/wiki/Lebanon_Municipal_Airport_(New_Hampshire),,750,2015-02-17T01:05:52+00:00
3897,KSPI,medium_airport,Abraham Lincoln Capital Airport,39.844101,-89.677902,598,NA,United States,US,Illinois,US-IL,IL,Springfield,1,KSPI,SPI,SPI,,https://en.wikipedia.org/wiki/Abraham_Lincoln_Capital_Airport,,750,2021-11-20T15:49:18+00:00
